 6803202| 177.01|21.06|1.84|21.06|1.77
 6850504|  70.04| 6.10|0.91|     |    
 6850504|  70.01|10.85|3.09|     |    
 6850504|  70.05|19.58|1.02|     |    
 6851425| 163.01|11.12|2.27|11.12|1.80
 6922710|2087.01|23.13|1.54|23.13|1.18
 7021534|       |     |    | 9.07|1.35
 7033671| 670.01| 9.49|1.92| 9.49|2.03
 7211221|1379.01| 5.62|1.06| 5.62|1.23
 7219825| 238.01|17.23|2.40|17.23|2.54
 7219825| 238.02|26.69|1.35|     |    
 7345248|       |     |    | 5.66|0.81
 7419318| 313.02| 8.44|1.61|     |    
 7419318| 313.01|18.74|2.20|18.74|1.89
 7466863|       |     |    |11.97|2.89
 7582689|       |     |    |11.92|1.34
 7668663|1898.01| 6.50|1.50| 6.50|1.79
 7700622| 315.01|35.59|2.14|35.59|2.13
 7762723|       |     |    | 9.89|0.64
 7810483|       |     |    |29.92|1.70
 7906739|       |     |    | 7.01|0.80
 7906892|       |     |    | 8.85|0.72
 7918652|       |     |    |11.46|1.02
 8008067| 316.01|15.77|2.72|15.77|2.66
 8009496|       |     |    |38.48|1.74
 8073705|       |     |    |10.60|0.91
 8077137| 274.01|15.09|1.12|15.09|0.99
 8077137| 274.02|22.80|1.13|     |    
 8081187|       |     |    |37.32|1.57
 8087812|       |     |    |27.21|1.55
 8242434|1726.01|44.96|5.25|44.96|1.92
 8280511|1151.01| 5.22|0.84|     |    
 8280511|1151.02| 7.41|0.97|     |    
 8280511|       |     |    |10.44|1.36
 8323753|       |     |    | 6.71|2.71
 8349582| 122.01|11.52|2.78|11.52|3.15
 8429668|       |     |    | 5.01|0.52
 8480285| 691.02|16.23|1.25|     |    
 8480285| 691.01|29.67|2.92|29.67|2.89
 8494617|2389.01|22.92|1.45|22.92|1.27
 8554498|   5.02| 7.05|0.66|     |    
 8560804|       |     |    |31.98|1.09
 8611832|2414.01|22.60|1.03|22.60|1.17
 8611832|2414.02|45.35|1.17|     |    
 8628758|1279.02| 9.65|0.74|     |    
 8628758|1279.01|14.37|1.31|14.37|2.26
 8631504|2503.01|14.82|2.41|14.82|0.95
 8644365|       |     |    |19.92|1.31
 8804455|2159.01| 7.60|1.01| 7.60|1.33
 8805348| 695.01|29.91|2.51|29.91|2.69
 8822366|1282.01|30.86|3.00|30.86|1.76
 8827575|       |     |    |10.13|0.82
 8866102|  42.01|17.83|2.71|17.83|2.08
 8962094| 700.02| 9.36|1.29|     |    
 8962094| 700.03|14.67|1.29|     |    
 8962094| 700.01|30.86|2.28|30.87|2.38
 8972058| 159.01| 8.99|2.70| 8.99|2.39
 9006186|2169.01| 5.45|1.02| 5.45|0.81
 9086251|2367.01| 6.89|1.17| 6.89|1.38
 9139084| 323.01| 5.84|2.17| 5.84|1.92
 9226339|       |     |    |21.46|1.50
 9288237|       |     |    | 7.49|0.54
 9471974| 119.01|49.18|3.76|     |    
 9491832|       |     |    |49.57|1.95
 9549648|1886.01| 5.99|2.45| 5.99|1.82
 9704384|1913.01| 5.51|1.40| 5.51|1.35
 9716028|       |     |    |17.37|1.03
 9717943|2273.01| 6.11|1.02| 6.11|1.00
 9886361|       |     |    | 7.03|1.08
10055126|1608.01| 9.18|1.81| 9.18|1.59
10055126|1608.02|19.74|1.58|     |    
10130039|1909.02| 5.47|1.15|     |    
10130039|1909.01|12.76|1.52|12.76|1.31
10130039|1909.03|25.10|1.63|     |    
10136549|1929.01| 9.69|2.00| 9.69|1.98
10212441|2342.01|15.04|1.22|15.04|1.13
10593535|       |     |    |20.92|1.27
10722485|       |     |    | 7.85|0.98
10917433|       |     |    | 6.91|0.62
11086270| 124.01|12.69|3.00|     |    
11086270| 124.02|31.72|3.58|31.72|2.24
11121752|2333.02| 7.63|1.63| 7.63|1.22
11133306| 276.01|41.75|2.49|41.75|2.27
11241912|       |     |    |14.43|1.10
11250587| 107.01| 7.26|3.09| 7.26|3.18
11253711|1972.01|17.79|1.93|17.79|1.92
11295426| 246.01| 5.40|2.53| 5.40|2.68
11402995| 173.01|10.06|2.48|10.06|2.56
11554435|  63.01| 9.43|6.30| 9.43|5.60
11560897|2365.01|35.97|1.59|35.97|2.03
11612280|       |     |    | 9.41|1.15
11771430|2582.01|40.03|1.98|40.03|2.10
11774991|2173.01|37.82|1.24|37.82|1.10
11818872|2581.01|12.74|0.90|     |    
12254909|2372.01| 5.35|1.11| 5.35|0.88
12301181|2059.01| 6.15|0.59| 6.15|0.84
12416661|       |     |    | 8.05|1.02
12454461|2463.01| 7.47|1.07| 7.47|1.16
12737015|       |     |    |24.67|1.84
